text,score,label,aspect,context,sentiment
Best online shopping experience I've ever had! Not satisfied at all.,9.8,Highly Positive Sentiment (8-10),Overall Experience,General Feedback,positive
Fantastic service and great quality.,8.6,Positive Sentiment,Simply Aspect,Former student.,positive
Fantastic service and great quality.,9.5,Positive Sentiment,Work Aspect,Low quickly.,positive
Fantastic service and great quality.,8.9,Positive Sentiment,Material Aspect,Much military dream relationship.,positive
Worst experience ever.,3.6,Negative Sentiment,Vote Aspect,Message statement program.,negative
Fantastic service and great quality.,9,Positive Sentiment,Local Aspect,Town agency.,positive
Completely useless.,0.5,Negative Sentiment,Mind Aspect,Moment position certain.,negative
Is this item in stock?,5,Neutral Sentiment (4-5.9),Availability Check,Inventory Inquiry,neutral
Very satisfied with my purchase.,8,Positive Sentiment,Send Aspect,Thus may.,positive
"It's okay, nothing special.",7.2,Neutral Sentiment,Open Aspect,Wish news.,neutral
I want a refund.,0.2,Negative Sentiment,Find Aspect,Woman source customer.,negative
Neither good nor bad.,7,Neutral Sentiment,Care Aspect,Wait inside age.,neutral
Absolutely love it!,8.7,Positive Sentiment,Make Aspect,Heart hope single.,positive
Worst experience ever.,3.6,Negative Sentiment,Side Aspect,Civil child board.,negative
Very disappointed.,1.8,Negative Sentiment,Whose Aspect,Market low.,negative
Very disappointed.,3.1,Negative Sentiment,Box Aspect,Shoulder man.,negative
"Honestly, What are the specifications of this product?",5,Neutral Sentiment (4-5.9),Product Information,Technical Inquiry,neutral
Highly recommended.,8.1,Positive Sentiment,Science Aspect,Play expert together.,positive
I want a refund.,1.8,Negative Sentiment,Small Aspect,Alone share mother.,negative
Highly recommended.,9.1,Positive Sentiment,Hospital Aspect,Treatment film plan.,positive
Exceeded expectations!,8.9,Positive Sentiment,System Aspect,Room.,positive
Great product at a great price!,8.1,Positive Sentiment,Affect Aspect,Difficult them.,positive
Service was average.,6.2,Neutral Sentiment,Area Aspect,Try candidate tree.,neutral
"It's okay, nothing special.",6.4,Neutral Sentiment,Hope Aspect,A teacher tree decade.,neutral
Neither good nor bad.,7.6,Neutral Sentiment,Conference Aspect,Throw second.,neutral
"I must say, The chatbot was helpful, though took a while to understand my question.",6.8,Moderately Positive Sentiment (6-7.9),AI Interaction,Support Experience,neutral
Completely useless.,2.3,Negative Sentiment,Remain Aspect,We have.,negative
Product meets the description.,6.5,Neutral Sentiment,Sister Aspect,Production white follow fast.,neutral
Exceeded expectations!,8.5,Positive Sentiment,Prove Aspect,Main likely lawyer.,positive
Never shopping here again! Complete waste of money! Absolutely loved it.,1.3,Highly Negative Sentiment (1-1.9),Brand Rejection,Overall Dissatisfaction,negative
Terrible quality and late delivery.,0.9,Negative Sentiment,Draw Aspect,Improve among increase left.,negative
"It's okay, nothing special.",6.6,Neutral Sentiment,Exactly Aspect,Area media.,neutral
Completely useless.,3.2,Negative Sentiment,Law Aspect,Health whether.,negative
Very disappointed.,1.3,Negative Sentiment,Story Aspect,Lawyer her memory back.,negative
Highly recommended.,8,Positive Sentiment,Sense Aspect,Financial be.,positive
Product meets the description.,6.2,Neutral Sentiment,Civil Aspect,Bank too.,neutral
Worst experience ever.,3.6,Negative Sentiment,Event Aspect,Campaign do.,negative
Highly recommended.,8.7,Positive Sentiment,Leg Aspect,Star start hospital.,positive
Absolutely love it!,9.9,Positive Sentiment,Entire Aspect,Race score.,positive
Not worth the money.,0.8,Negative Sentiment,Concern Aspect,Far run.,negative
Service was average.,7,Neutral Sentiment,Wonder Aspect,Apply positive.,neutral
Quick delivery and perfect packaging! Will definitely shop here again. Just wow!,8.9,Highly Positive Sentiment (8-10),Delivery Satisfaction,Post-Purchase,positive
I'm thrilled that your comparison tool compares irrelevant features,2.9,Negative Sentiment (2-3.9),Feature Limitation,Tool Feedback,negative
Terrible quality and late delivery.,2.3,Negative Sentiment,Seek Aspect,Up land yeah.,negative
"Good product overall, meets my expectations.",7.2,Moderately Positive Sentiment (6-7.9),Product Satisfaction,Post-Purchase,neutral
Basic but functional.,7.4,Neutral Sentiment,Reality Aspect,Situation picture brother.,neutral
Very disappointed.,1.4,Negative Sentiment,Buy Aspect,Short quite.,negative
Delivery was as expected.,7.4,Neutral Sentiment,Common Aspect,Well result.,neutral
Delivery was as expected.,7.6,Neutral Sentiment,Kitchen Aspect,Upon size significant.,neutral
Smooth,8.7,Highly Positive Sentiment (8-10),Usability,General,positive
Exceeded expectations!,9.4,Positive Sentiment,Court Aspect,Early hot crime until.,positive
Worst experience ever.,1.4,Negative Sentiment,Writer Aspect,Piece knowledge.,negative
Exceeded expectations!,8.1,Positive Sentiment,Consumer Aspect,Data sure or.,positive
Worst experience ever.,0.9,Negative Sentiment,Although Aspect,According develop capital.,negative
Great product at a great price!,9.5,Positive Sentiment,Doctor Aspect,Compare young manage.,positive
Very disappointed.,0.1,Negative Sentiment,Focus Aspect,Avoid director majority.,negative
I want a refund.,3.5,Negative Sentiment,Religious Aspect,When bed ok.,negative
"Product arrived on time, quality is okay. and that was disappointing.",7.1,Moderately Positive Sentiment (6-7.9),Delivery Experience,Post-Purchase,neutral
Delivery was as expected.,6.5,Neutral Sentiment,Left Aspect,Car where employee.,neutral
Very satisfied with my purchase.,8.6,Positive Sentiment,Level Aspect,Ground can join.,positive
Service was average.,7.2,Neutral Sentiment,Community Aspect,Prevent room member.,neutral
Neither good nor bad.,7.6,Neutral Sentiment,Exist Aspect,Relate right.,neutral
"I must say, Voice assistant keeps misunderstanding me.",2.9,Negative Sentiment (2-3.9),Voice Commerce,Technical Issues,negative
Basic but functional.,6.7,Neutral Sentiment,House Aspect,Watch.,neutral
Not worth the money.,2.6,Negative Sentiment,History Aspect,Design voice.,negative
Not worth the money.,3,Negative Sentiment,Effect Aspect,Suddenly market.,negative
Basic but functional.,7.3,Neutral Sentiment,Measure Aspect,Hour operation.,neutral
Completely useless.,1.2,Negative Sentiment,Piece Aspect,Instead minute.,negative
"I must say, This website is so easy to use! Found my product in seconds.",8.8,Highly Positive Sentiment (8-10),User Experience,Navigation,positive
Great product at a great price!,8.3,Positive Sentiment,By Aspect,Chair could decide.,positive
Terrible quality and late delivery.,0.8,Negative Sentiment,Dream Aspect,Approach identify pay.,negative
Highly recommended.,9.7,Positive Sentiment,Ahead Aspect,Scientist relationship blue.,positive
Terrible quality and late delivery.,0.8,Negative Sentiment,National Aspect,Production.,negative
Completely useless.,1.2,Negative Sentiment,Employee Aspect,Blood address no.,negative
Highly recommended.,9.5,Positive Sentiment,Across Aspect,Cold table threat bring.,positive
Fantastic service and great quality.,8.8,Positive Sentiment,Thank Aspect,Moment growth.,positive
Very satisfied with my purchase.,9.9,Positive Sentiment,Often Aspect,Race.,positive
Absolutely love it!,9.2,Positive Sentiment,Yet Aspect,Play front.,positive
Service was average.,6,Neutral Sentiment,Case Aspect,Attention rule Mr.,neutral
"In my opinion, Fantastic deal on this smartphone! Better price than anywhere else.",8.6,Highly Positive Sentiment (8-10),Price Satisfaction,Purchase Decision,positive
Absolutely love it!,8.3,Positive Sentiment,Only Aspect,Anything feel worker rock.,positive
Fantastic service and great quality.,9.9,Positive Sentiment,Actually Aspect,Picture notice reduce.,positive
Great product at a great price!,8.6,Positive Sentiment,Exactly Aspect,Dog something.,positive
"It's okay, nothing special.",7.2,Neutral Sentiment,Benefit Aspect,Teach or body.,neutral
Product meets the description.,6.9,Neutral Sentiment,Society Aspect,Vote join.,neutral
Highly recommended.,9.1,Positive Sentiment,Whatever Aspect,Ask personal seek.,positive
Absolutely love it!,9.8,Positive Sentiment,Chair Aspect,Policy him across.,positive
Basic but functional.,7.3,Neutral Sentiment,Message Aspect,Middle organization movement.,neutral
Very satisfied with my purchase.,10,Positive Sentiment,Carry Aspect,Yet probably.,positive
Neither good nor bad.,7.2,Neutral Sentiment,No Aspect,Would.,neutral
Highly recommended.,8.6,Positive Sentiment,Quickly Aspect,That east.,positive
Not worth the money.,0.4,Negative Sentiment,Specific Aspect,Return perform decade.,negative
Very disappointed.,3.6,Negative Sentiment,Lead Aspect,Wide reality.,negative
Very satisfied with my purchase.,8.6,Positive Sentiment,Picture Aspect,Rate seem.,positive
Terrible quality and late delivery.,2.6,Negative Sentiment,Present Aspect,True produce.,negative
"I found that Looking for a laptop under $800, can you help?",5,Neutral Sentiment (4-5.9),Information Seeking,Product Inquiry,neutral
Highly recommended.,9.6,Positive Sentiment,Surface Aspect,Good office hard also.,positive
Exceeded expectations!,9,Positive Sentiment,Report Aspect,Reveal month full.,positive
Not worth the money.,2.1,Negative Sentiment,Evidence Aspect,Group from of.,negative
Product meets the description.,6.2,Neutral Sentiment,Manage Aspect,Look popular.,neutral
Absolutely love it!,8.5,Positive Sentiment,Behind Aspect,Instead point sign.,positive
Basic but functional.,6.6,Neutral Sentiment,Style Aspect,Once significant begin.,neutral
Exceeded expectations!,9.1,Positive Sentiment,Follow Aspect,Modern identify.,positive
Fantastic service and great quality.,9.2,Positive Sentiment,Trouble Aspect,Pull number contain until.,positive
Highly recommended.,8.7,Positive Sentiment,Kind Aspect,Place tree.,positive
Terrible quality and late delivery.,2.1,Negative Sentiment,Street Aspect,Focus red theory whose.,negative
Terrible quality and late delivery.,0.1,Negative Sentiment,Wife Aspect,Child none maybe.,negative
Very disappointed.,2.7,Negative Sentiment,Stay Aspect,General sport.,negative
Not worth the money.,3.8,Negative Sentiment,Change Aspect,Treat none performance.,negative
Neither good nor bad.,6.8,Neutral Sentiment,Address Aspect,Protect garden.,neutral
Product meets the description.,7.7,Neutral Sentiment,However Aspect,Rise relate.,neutral
Delivery was as expected.,6.2,Neutral Sentiment,Author Aspect,Approach whatever machine.,neutral
Neither good nor bad.,6.7,Neutral Sentiment,Major Aspect,Degree pressure.,neutral
Neither good nor bad.,7.5,Neutral Sentiment,Example Aspect,Window hotel.,neutral
Completely useless.,1,Negative Sentiment,Husband Aspect,Major today clear.,negative
Absolutely love it!,9.7,Positive Sentiment,Other Aspect,Issue relationship.,positive
Neither good nor bad.,6.8,Neutral Sentiment,Dinner Aspect,Age Democrat might.,neutral
I want a refund.,3,Negative Sentiment,Heart Aspect,Determine arm many.,negative
"It's okay, nothing special.",7.7,Neutral Sentiment,Reflect Aspect,Opportunity theory place.,neutral
Exceeded expectations!,9,Positive Sentiment,Local Aspect,Force recent.,positive
I want a refund.,2.9,Negative Sentiment,General Aspect,Material near brother reach.,negative
Absolutely love it!,9.2,Positive Sentiment,Organization Aspect,Could kind process.,positive
Absolutely love it!,8.3,Positive Sentiment,Know Aspect,Book spend.,positive
Fantastic service and great quality.,9.3,Positive Sentiment,Husband Aspect,Agency even speak cultural.,positive
Delivery was as expected.,6.1,Neutral Sentiment,Talk Aspect,Night television before.,neutral
Worst experience ever.,0.4,Negative Sentiment,Song Aspect,Board game strong.,negative
Service was average.,6.9,Neutral Sentiment,Mission Aspect,Place but executive.,neutral
I want a refund.,2.6,Negative Sentiment,Stay Aspect,Whether marriage.,negative
Delivery was as expected.,6.4,Neutral Sentiment,New Aspect,Suddenly maybe.,neutral
Very satisfied with my purchase.,8.8,Positive Sentiment,Him Aspect,Health sit.,positive
Very satisfied with my purchase.,8.5,Positive Sentiment,Ready Aspect,However green.,positive
Very satisfied with my purchase.,9.4,Positive Sentiment,Hit Aspect,Radio write.,positive
Delivery was as expected.,6.4,Neutral Sentiment,Allow Aspect,Entire and.,neutral
Absolutely love it!,8.8,Positive Sentiment,Accept Aspect,Until work fine.,positive
Service was average.,6.2,Neutral Sentiment,Option Aspect,Break night ahead.,neutral
Product meets the description.,7.7,Neutral Sentiment,Say Aspect,Magazine.,neutral
Delivery was as expected.,7,Neutral Sentiment,Congress Aspect,Number record American.,neutral
I found that Terrible experience! Product broke within a day!,1.2,Highly Negative Sentiment (1-1.9),Product Failure,Quality Issues,negative
Great product at a great price!,9.7,Positive Sentiment,Expert Aspect,Power.,positive
Exceeded expectations!,8.8,Positive Sentiment,Hold Aspect,Even while visit.,positive
Completely useless.,1.7,Negative Sentiment,Base Aspect,Music right message.,negative
Product meets the description.,6.3,Neutral Sentiment,Source Aspect,Fear sea drug.,neutral
Worst experience ever.,0.1,Negative Sentiment,At Aspect,Seek effort subject.,negative
What payment methods do you accept? Absolutely loved it.,5,Neutral Sentiment (4-5.9),Payment Inquiry,Information Request,neutral
Highly recommended.,8.9,Positive Sentiment,Study Aspect,Pm hold part.,positive
Great product at a great price!,8.7,Positive Sentiment,Campaign Aspect,Course shake.,positive
Fantastic service and great quality.,9.4,Positive Sentiment,Field Aspect,Music performance.,positive
Service was average.,7.2,Neutral Sentiment,Strategy Aspect,Turn south.,neutral
Worst experience ever.,3.2,Negative Sentiment,Today Aspect,Family report.,negative
Basic but functional.,6.9,Neutral Sentiment,Radio Aspect,Simply serve cultural.,neutral
I want a refund.,2.6,Negative Sentiment,This Aspect,Beat yeah training.,negative
Completely useless.,2.9,Negative Sentiment,Style Aspect,Nearly despite.,negative
Absolutely love it!,8.5,Positive Sentiment,Operation Aspect,It society.,positive
Neither good nor bad.,6.8,Neutral Sentiment,Ball Aspect,Skin like.,neutral
Fantastic service and great quality.,9.9,Positive Sentiment,Imagine Aspect,Time think probably.,positive
"The chatbot was helpful, though took a while to understand my question.",6.8,Moderately Positive Sentiment (6-7.9),AI Interaction,Support Experience,neutral
Delivery was as expected.,7.3,Neutral Sentiment,Her Aspect,Soldier cover another.,neutral
"It's okay, nothing special.",6.3,Neutral Sentiment,Simple Aspect,Race society do case.,neutral
Flawless performance. Highly recommended!,9.6,Highly Positive Sentiment (8-10),Product Performance,Product Review,positive
Product meets the description.,6.1,Neutral Sentiment,Someone Aspect,Behind common.,neutral
Absolutely love it!,9.2,Positive Sentiment,Person Aspect,Guy some size.,positive
Exceeded expectations!,9.9,Positive Sentiment,Walk Aspect,Word picture.,positive
Delivery was as expected.,6,Neutral Sentiment,Sit Aspect,Executive society.,neutral
Best online shopping experience I've ever had! Would recommend to anyone.,9.8,Highly Positive Sentiment (8-10),Overall Experience,General Feedback,positive
Basic but functional.,6.5,Neutral Sentiment,Recent Aspect,Friend power.,neutral
Product meets the description.,6.3,Neutral Sentiment,Open Aspect,Also life.,neutral
Basic but functional.,6.4,Neutral Sentiment,Media Aspect,Assume.,neutral
Worst experience ever.,0.3,Negative Sentiment,Top Aspect,Popular woman bill.,negative
Love the product comparison tool! Helped me make the right choice. Absolutely loved it.,8.4,Highly Positive Sentiment (8-10),Feature Satisfaction,Product Research,positive
Very satisfied with my purchase.,8.8,Positive Sentiment,Themselves Aspect,Over what along.,positive
Exceeded expectations!,9.5,Positive Sentiment,Forget Aspect,Man we lawyer.,positive
Delivery was as expected.,7.7,Neutral Sentiment,Game Aspect,Behavior none.,neutral
Delivery was as expected.,7.4,Neutral Sentiment,Add Aspect,Character sure.,neutral
Useful,6.8,Moderately Positive Sentiment (6-7.9),Usability,General,positive
Completely useless.,2.6,Negative Sentiment,Rise Aspect,Ability.,negative
Great product at a great price!,9.4,Positive Sentiment,Each Aspect,Approach college industry.,positive
"Honestly, The voice assistant feature is brilliant! Made shopping so convenient.",9,Highly Positive Sentiment (8-10),Feature Appreciation,Voice Commerce,positive
Fantastic service and great quality.,9.1,Positive Sentiment,Policy Aspect,Himself Mrs hour.,positive
Highly recommended.,8.9,Positive Sentiment,Cost Aspect,Respond fast political item.,positive
What are the specifications of this product? which made the experience great.,5,Neutral Sentiment (4-5.9),Product Information,Technical Inquiry,neutral
Terrible quality and late delivery.,3,Negative Sentiment,Between Aspect,Kitchen green move.,negative
Highly recommended.,8.7,Positive Sentiment,Career Aspect,Election agency.,positive
Very disappointed.,0.3,Negative Sentiment,Whole Aspect,Hair cell cut.,negative
Your customer service is so efficient... at being inefficient,2.2,Negative Sentiment (2-3.9),Service Interaction,Support Experience,negative
Neither good nor bad.,6.8,Neutral Sentiment,Clearly Aspect,Ok pass consider.,neutral
Absolutely love it!,8.4,Positive Sentiment,Total Aspect,Analysis.,positive
Highly recommended.,9.4,Positive Sentiment,Them Aspect,Fall.,positive
"It's okay, nothing special.",7.5,Neutral Sentiment,Culture Aspect,Ball population language.,neutral
Love,9.8,Highly Positive Sentiment (8-10),Experience,General,positive
Worst experience ever.,3.5,Negative Sentiment,Stand Aspect,Away medical will.,negative
Very satisfied with my purchase.,9.6,Positive Sentiment,Drive Aspect,Even walk face.,positive
Customer service was polite and tried to help.,6.9,Moderately Positive Sentiment (6-7.9),Service Interaction,Support Experience,neutral
Highly recommended.,9.9,Positive Sentiment,Move Aspect,May age card.,positive
Not worth the money.,2.9,Negative Sentiment,Property Aspect,Somebody language.,negative
Absolutely love it!,9.3,Positive Sentiment,Hand Aspect,Start food.,positive
"I must say, Outstanding customer support! Resolved my issue immediately.",9.3,Highly Positive Sentiment (8-10),Service Excellence,Problem Resolution,positive
Neither good nor bad.,7.6,Neutral Sentiment,Add Aspect,Without treat interview.,neutral
Service was average.,7.5,Neutral Sentiment,Opportunity Aspect,Building herself.,neutral
Delivery was as expected.,6.4,Neutral Sentiment,National Aspect,Entire.,neutral
Service was average.,6.4,Neutral Sentiment,Race Aspect,Pick grow.,neutral
Great product at a great price!,8.5,Positive Sentiment,Quickly Aspect,Opportunity for director.,positive
Terrible quality and late delivery.,2.9,Negative Sentiment,Personal Aspect,Situation accept.,negative
Basic but functional.,7.3,Neutral Sentiment,Tree Aspect,Actually can toward.,neutral
Terrible quality and late delivery.,1.2,Negative Sentiment,Still Aspect,Skin my.,negative
Delivery was as expected.,6.2,Neutral Sentiment,Message Aspect,World leg mention.,neutral
Service was average.,6.7,Neutral Sentiment,Yet Aspect,Effect pattern.,neutral
I want a refund.,0.4,Negative Sentiment,Process Aspect,Body baby impact.,negative
Delivery was as expected.,6.1,Neutral Sentiment,Politics Aspect,Laugh manager dog.,neutral
Service was average.,7.8,Neutral Sentiment,Final Aspect,Former arm.,neutral
Terrible quality and late delivery.,0.4,Negative Sentiment,Do Aspect,End per.,negative
"Looking for a laptop under $800, can you help? Absolutely loved it.",5,Neutral Sentiment (4-5.9),Information Seeking,Product Inquiry,neutral
Very disappointed.,0.2,Negative Sentiment,Quality Aspect,Across where use detail.,negative
Absolutely love it!,9.1,Positive Sentiment,Language Aspect,Put manager at.,positive
Highly recommended.,8.8,Positive Sentiment,See Aspect,Party series worker.,positive
Not worth the money.,3.8,Negative Sentiment,Mean Aspect,Student tell age.,negative
Highly recommended.,8.4,Positive Sentiment,Finish Aspect,Language leader also.,positive
"It's okay, nothing special.",6.8,Neutral Sentiment,Heart Aspect,Affect democratic anything.,neutral
Worst experience ever.,2,Negative Sentiment,North Aspect,Article anything build.,negative
Product comparison tool is missing important features. which made the experience great.,3.1,Negative Sentiment (2-3.9),Feature Limitation,Tool Feedback,negative
Very disappointed.,2.5,Negative Sentiment,That Aspect,Toward soldier research place.,negative
Exceeded expectations!,9,Positive Sentiment,Large Aspect,Doctor station happy.,positive
Outstanding customer support! Resolved my issue immediately. and that was disappointing.,9.3,Highly Positive Sentiment (8-10),Service Excellence,Problem Resolution,positive
Product meets the description.,6.9,Neutral Sentiment,Certainly Aspect,Able medical help.,neutral
Product meets the description.,6,Neutral Sentiment,Game Aspect,Beyond us once.,neutral
Terrible quality and late delivery.,1.5,Negative Sentiment,Allow Aspect,Key plant.,negative
Product meets the description.,7.5,Neutral Sentiment,Magazine Aspect,Play factor.,neutral
Delivery was as expected.,7.1,Neutral Sentiment,Pattern Aspect,Today product beyond.,neutral
Highly recommended.,9.3,Positive Sentiment,Worker Aspect,Majority.,positive
Highly recommended.,9.7,Positive Sentiment,Speak Aspect,Firm figure.,positive
Exceeded expectations!,8.1,Positive Sentiment,Travel Aspect,Great.,positive
"Happy with my purchase, good value for money. which made the experience great.",7.5,Moderately Positive Sentiment (6-7.9),Purchase Satisfaction,Post-Purchase,positive
Fantastic service and great quality.,9.1,Positive Sentiment,Hour Aspect,Practice black.,positive
Fantastic service and great quality.,9.5,Positive Sentiment,Room Aspect,Enough last choose.,positive
Exceeded expectations!,8.3,Positive Sentiment,During Aspect,Structure possible bag.,positive
Worst experience ever.,1.5,Negative Sentiment,Onto Aspect,Cause impact.,negative
I want a refund.,0.9,Negative Sentiment,Hundred Aspect,Three life them.,negative
"It's okay, nothing special.",6.1,Neutral Sentiment,Bad Aspect,Group analysis who.,neutral
This website is broken! Can't complete my purchase!,1.4,Highly Negative Sentiment (1-1.9),Technical Failure,Transaction Issues,negative
Very satisfied with my purchase.,9.5,Positive Sentiment,Deep Aspect,Question operation represent.,positive
Not worth the money.,0.6,Negative Sentiment,Candidate Aspect,Trip result.,negative
Highly recommended.,8.6,Positive Sentiment,When Aspect,I interesting nor.,positive
How long does shipping take? which made the experience great.,5,Neutral Sentiment (4-5.9),Shipping Inquiry,Information Request,neutral
Neither good nor bad.,6.6,Neutral Sentiment,Each Aspect,World step.,neutral
Exceeded expectations!,8.1,Positive Sentiment,Lawyer Aspect,Particularly indeed.,positive
Neither good nor bad.,6.3,Neutral Sentiment,Design Aspect,Possible one mean.,neutral
Very satisfied with my purchase.,8.1,Positive Sentiment,Affect Aspect,Miss detail.,positive
Service was average.,6.5,Neutral Sentiment,Rule Aspect,Population chair.,neutral
Worst experience ever.,1.6,Negative Sentiment,Little Aspect,Prove financial.,negative
Very satisfied with my purchase.,9.6,Positive Sentiment,Professional Aspect,Off nearly church.,positive
"Everything’s mostly fine, though there's room for improvement.",5.6,Neutral Sentiment (4-5.9),Overall,General,neutral
"It's okay, nothing special.",6.4,Neutral Sentiment,Mrs Aspect,Environmental imagine form.,neutral
Very disappointed.,1.2,Negative Sentiment,Create Aspect,Concern.,negative
Great product at a great price!,9.4,Positive Sentiment,Company Aspect,Likely animal blood.,positive
Not worth the money.,2.4,Negative Sentiment,Focus Aspect,Size style as.,negative
Exceeded expectations!,8.8,Positive Sentiment,Artist Aspect,Rather partner.,positive
Fantastic service and great quality.,9.3,Positive Sentiment,Just Aspect,Get general.,positive
Neither good nor bad.,7.4,Neutral Sentiment,Should Aspect,Enjoy gas weight.,neutral
Not worth the money.,3,Negative Sentiment,Pay Aspect,Economic.,negative
Very disappointed.,2.6,Negative Sentiment,Light Aspect,Play when performance.,negative
Exceeded expectations!,8.4,Positive Sentiment,Base Aspect,Base state position.,positive
Exceeded expectations!,9,Positive Sentiment,Receive Aspect,Write century.,positive
Very disappointed.,2.9,Negative Sentiment,Partner Aspect,Her threat player.,negative
Neither good nor bad.,6.8,Neutral Sentiment,Them Aspect,Attention soldier key.,neutral
Exceeded expectations!,8.7,Positive Sentiment,Of Aspect,Would new.,positive
Completely useless.,2.2,Negative Sentiment,Enjoy Aspect,Term behavior fish see.,negative
Your prices are so fair... to your competitors,3.4,Negative Sentiment (2-3.9),Price Complaint,Market Comparison,negative
Absolutely love it!,8.8,Positive Sentiment,Forward Aspect,Boy town step.,positive
I want a refund.,1.2,Negative Sentiment,Involve Aspect,Newspaper teacher.,negative
Exceeded expectations!,8.2,Positive Sentiment,Top Aspect,Oil per late.,positive
Very disappointed.,2.5,Negative Sentiment,Thank Aspect,Total development.,negative
"It's okay, nothing special.",6.7,Neutral Sentiment,Degree Aspect,Rule attorney sense.,neutral
Neither good nor bad.,7.2,Neutral Sentiment,Type Aspect,Value want.,neutral
Very disappointed.,1.2,Negative Sentiment,Hand Aspect,Explain your size.,negative
"It's okay, nothing special.",7.2,Neutral Sentiment,Series Aspect,Design three.,neutral
Not worth the money.,3.6,Negative Sentiment,Employee Aspect,Fact.,negative
Terrible quality and late delivery.,1.2,Negative Sentiment,Article Aspect,Resource hope policy.,negative
Worst experience ever.,1.2,Negative Sentiment,Office Aspect,Answer structure.,negative
Product meets the description.,7.7,Neutral Sentiment,Stop Aspect,Raise.,neutral
Delivery was as expected.,6.7,Neutral Sentiment,There Aspect,Throw house.,neutral
"It's okay, nothing special.",6.4,Neutral Sentiment,Center Aspect,Letter fine.,neutral
Exceeded expectations!,9.8,Positive Sentiment,Road Aspect,Occur score anyone.,positive
"It's okay, nothing special.",7.4,Neutral Sentiment,Force Aspect,Age expert.,neutral
Basic but functional.,7,Neutral Sentiment,Rule Aspect,Throughout bad.,neutral
Fantastic service and great quality.,8.4,Positive Sentiment,Her Aspect,Budget through prove.,positive
Great product at a great price!,8.7,Positive Sentiment,Difficult Aspect,Line team safe.,positive
Delivery was as expected.,6.5,Neutral Sentiment,Method Aspect,Tree allow.,neutral
"It's okay, nothing special.",6.4,Neutral Sentiment,Response Aspect,Create sign.,neutral
Very disappointed.,1.2,Negative Sentiment,Under Aspect,This when.,negative
I want a refund.,2.4,Negative Sentiment,Single Aspect,Across spend long.,negative
Very satisfied with my purchase.,10,Positive Sentiment,Course Aspect,Group paper sit.,positive
Remarkable responsiveness and care from the support staff.,9.4,Highly Positive Sentiment (8-10),Service Interaction,Customer Support,positive
Terrible quality and late delivery.,1.5,Negative Sentiment,Experience Aspect,Role measure director.,negative
Delivery was as expected.,7.9,Neutral Sentiment,Effort Aspect,Game leave.,neutral
The only thing faster than your delivery was my disappointment,2.4,Negative Sentiment (2-3.9),Delivery Experience,Post-Purchase,negative
"In my opinion, Customer service was polite and tried to help.",6.9,Moderately Positive Sentiment (6-7.9),Service Interaction,Support Experience,neutral
"It's okay, nothing special.",7.2,Neutral Sentiment,Themselves Aspect,However some.,neutral
Service was average.,6.5,Neutral Sentiment,Size Aspect,Son day provide.,neutral
Website crashed and charged me twice! which made the experience great.,1.1,Highly Negative Sentiment (1-1.9),Technical Failure,Payment Issues,negative
Very satisfied with my purchase.,9,Positive Sentiment,Phone Aspect,Once eye full.,positive
Neither good nor bad.,7.4,Neutral Sentiment,Father Aspect,Answer color position.,neutral
Terrible quality and late delivery.,0.6,Negative Sentiment,Anyone Aspect,President pull.,negative
Your return process is so straightforward... if straight means twisted,3.4,Negative Sentiment (2-3.9),Process Complaint,Returns,negative
"It's okay, nothing special.",7.4,Neutral Sentiment,Garden Aspect,Big box.,neutral
Very satisfied with my purchase.,8.4,Positive Sentiment,Action Aspect,Upon person operation.,positive
Absolutely love it!,9,Positive Sentiment,Control Aspect,Hair final.,positive
"It's okay, nothing special.",7.8,Neutral Sentiment,Task Aspect,Response student.,neutral
Not worth the money.,0.2,Negative Sentiment,Expect Aspect,Gun.,negative
Absolutely love it!,9.5,Positive Sentiment,Clearly Aspect,Memory go.,positive
Worst experience ever.,2.1,Negative Sentiment,Tonight Aspect,Mouth.,negative
Absolutely love it!,9.5,Positive Sentiment,Store Aspect,Various subject plan.,positive
Great product at a great price!,8.9,Positive Sentiment,Guess Aspect,Large soon.,positive
Absolutely love it!,8.6,Positive Sentiment,Economic Aspect,Today event.,positive
Absolutely love it!,8.2,Positive Sentiment,Anyone Aspect,Pick population.,positive
Very disappointed.,3.1,Negative Sentiment,Sound Aspect,Also meet describe.,negative
Fantastic service and great quality.,9.1,Positive Sentiment,Early Aspect,Set stop.,positive
Product meets the description.,6,Neutral Sentiment,Indeed Aspect,Step develop.,neutral
"It's okay, nothing special.",6.8,Neutral Sentiment,Source Aspect,Grow.,neutral
Very satisfied with my purchase.,9.7,Positive Sentiment,Quickly Aspect,Partner action visit.,positive
The product quality is so impressive... if impressive means terrible,2.4,Negative Sentiment (2-3.9),Product Dissatisfaction,Post-Purchase,negative
Worst experience ever.,1.1,Negative Sentiment,Well Aspect,Cover inside message home.,negative
Fantastic service and great quality.,9.4,Positive Sentiment,Police Aspect,Especially country turn.,positive
Exceeded expectations!,8.9,Positive Sentiment,Analysis Aspect,Attention.,positive
Fantastic service and great quality.,9.2,Positive Sentiment,Again Aspect,Region defense vote.,positive
Great product at a great price!,8.2,Positive Sentiment,Man Aspect,Nearly line.,positive
Absolutely love it!,9.9,Positive Sentiment,Pick Aspect,Cut.,positive
Basic but functional.,6.5,Neutral Sentiment,Myself Aspect,Official to nice.,neutral
